"企業ID","企業名","従業員数","勤続年数","平均給与"
125,"Company125",11377,13.6,44.2
126,"Company126",937,13,43.3
127,"Company127",2277,16.9,41.6
128,"Company128",1945,15.8,40.1
129,"Company129",687,15.5,38.1
130,"Company130",1676,15.4,43
131,"Company131",7631,16.4,44.8
132,"Company132",2827,12.3,41.8
133,"Company133",1875,11.4,44.3
134,"Company134",1179,14,48.7
135,"Company135",230,19.1,47.8
136,"Company136",5579,11.6,40.5
137,"Company137",417,16.1,43.6
138,"Company138",3772,15.3,39.9
139,"Company139",12144,9.6,44.1
140,"Company140",424,16,41.8
141,"Company141",3631,13.9,42.8
142,"Company142",1384,20.8,39.4
143,"Company143",373,16.1,45.6
144,"Company144",395,17.1,41.7
145,"Company145",362,18.9,40.7
146,"Company146",1058,12.1,41.8
147,"Company147",417,15.9,42.2
148,"Company148",3581,17.2,46.9
149,"Company149",14700,19.1,38.7
150,"Company150",496,16.8,49.4
151,"Company151",3957,15.6,39.7
152,"Company152",3883,10.8,42.5
153,"Company153",2509,16.7,35.8
154,"Company154",656,15.9,40
155,"Company155",1597,16.3,44.2
156,"Company156",1359,15.6,43.5
157,"Company157",3160,13.3,43.2
158,"Company158",1240,13.7,40.6
159,"Company159",4781,16.5,36.5
160,"Company160",1237,14.6,38.8
161,"Company161",5157,10.9,41.3
162,"Company162",630,12.9,43.9
163,"Company163",510,10.4,44.5
164,"Company164",46008,13.5,41.1
165,"Company165",1186,18.1,41.5
166,"Company166",2425,11.9,41.5
167,"Company167",3401,13.6,42.2
168,"Company168",1109,18.9,46.6
169,"Company169",3018,16.5,39.8
170,"Company170",2603,15.6,41.4
171,"Company171",1451,18.4,42.2
172,"Company172",1921,11.1,38
173,"Company173",1739,16.7,39.2
174,"Company174",15123,11.8,42.6
175,"Company175",857,14,43.3
176,"Company176",601,22.2,45.4
177,"Company177",1869,17.6,40.6
178,"Company178",2455,16.8,46.4
179,"Company179",2785,9.9,39.4
180,"Company180",1138,11.1,37.2
181,"Company181",621,22.5,36.2
182,"Company182",6366,10,45.3
183,"Company183",1268,14.8,42.9
184,"Company184",757,17.3,41.6
185,"Company185",1421,17.8,41.1
186,"Company186",1477,18,46.8
187,"Company187",5461,13.4,45.6
188,"Company188",1959,11,39
189,"Company189",3826,12.9,37.8
190,"Company190",1092,10.7,45.3
191,"Company191",2230,16.3,43.7
192,"Company192",1300,18.1,40.5
193,"Company193",1978,21.9,43.2
194,"Company194",735,15.4,35.9
195,"Company195",485,10.8,40
196,"Company196",13263,17.8,43.3
197,"Company197",3282,17.3,41.8
198,"Company198",515,13.1,38.2
199,"Company199",976,16.8,45
200,"Company200",550,18.2,45.5
201,"Company201",16225,12.9,39.2
202,"Company202",6687,16,41.4
203,"Company203",1380,13,44.2
204,"Company204",3098,16.5,44.6
205,"Company205",1189,13.6,40.4
206,"Company206",1117,12.7,39.4
207,"Company207",818,14.4,43
208,"Company208",993,13,36.3
209,"Company209",9381,11.8,39.1
210,"Company210",1705,12.8,44.3
211,"Company211",2027,14,36.9
212,"Company212",2296,14.8,38.4
213,"Company213",6173,19.7,41.3
214,"Company214",1074,13.3,41.1
215,"Company215",667,16.3,36.7
216,"Company216",9616,20.5,43.5
217,"Company217",1157,15.6,38.9
218,"Company218",873,13.9,41.5
219,"Company219",522,12.9,41.4
220,"Company220",498,15.5,44.1
221,"Company221",1013,17.7,41.8
222,"Company222",3339,13.3,41.6
223,"Company223",5461,14.6,47
224,"Company224",3652,14.8,43.1
225,"Company225",1251,16.7,43.9
226,"Company226",1910,18.1,43.4
227,"Company227",889,15,43.7
228,"Company228",878,13.7,46
229,"Company229",4359,19.2,41.8
230,"Company230",651,14.6,42.7
231,"Company231",12718,19.8,47.9
232,"Company232",1644,13.8,40.4
233,"Company233",2230,16.3,45.9
234,"Company234",860,13.6,40.2
235,"Company235",1013,13.9,47.1
236,"Company236",482,11.2,40
237,"Company237",1499,10.2,39.6
238,"Company238",2736,17.5,45.1
239,"Company239",2489,17.4,44.9
240,"Company240",823,15.6,43.7
241,"Company241",818,9.9,42.8
242,"Company242",1089,10.1,42.7
243,"Company243",8035,15.9,48.2
244,"Company244",577,11.5,37.7
245,"Company245",1504,17.7,39
246,"Company246",12063,14.1,38.2
247,"Company247",1627,16,44.9
248,"Company248",462,12.1,41.3
249,"Company249",925,9.7,41.6
250,"Company250",2924,17.4,47.3
251,"Company251",1236,14.9,40.3
252,"Company252",1026,13.1,48.1
253,"Company253",1276,14.3,37.8
254,"Company254",1970,18.9,46
255,"Company255",8902,11.4,43
256,"Company256",1647,11.2,40.8
257,"Company257",5304,11.7,41.5
258,"Company258",3382,17,46
259,"Company259",1606,14.7,47.1
260,"Company260",388,14.8,37
261,"Company261",1068,13.8,52.3
262,"Company262",1102,12.1,49.7
263,"Company263",1886,11,40.4
264,"Company264",6606,17.2,41.8
265,"Company265",17829,15.6,40
266,"Company266",8460,11.1,41.7
267,"Company267",1575,15,44.2
268,"Company268",310,11.3,42.3
269,"Company269",1220,12.1,42.6
270,"Company270",1967,20.5,46.4
271,"Company271",4190,16.5,35.4
272,"Company272",4712,14.5,40.5
273,"Company273",3568,12.3,42.4
274,"Company274",445,9.8,39.7
275,"Company275",4209,14.8,45.2
276,"Company276",1151,14.5,40.7
277,"Company277",2143,12.8,40.7
278,"Company278",1939,21.3,45.6
279,"Company279",2761,17.1,44.5
280,"Company280",1844,12.9,41.5
281,"Company281",339,16.4,41
282,"Company282",3759,12.3,37.7
283,"Company283",2648,11.8,39.9
284,"Company284",1380,13.2,49.8
285,"Company285",2025,23.2,41.9
286,"Company286",2058,17.7,44.7
287,"Company287",2245,20.2,41.4
288,"Company288",9287,17.4,43.8
289,"Company289",1445,18.2,41.8
290,"Company290",2129,17.3,46.1
291,"Company291",5790,15.8,40.5
292,"Company292",5165,11.8,36.9
293,"Company293",5657,12,44.7
294,"Company294",1010,14,41.3
295,"Company295",13333,17.3,46.4
296,"Company296",1924,17.8,42.4
297,"Company297",11642,14.4,46.4
298,"Company298",466,12,43.1
299,"Company299",1838,16.7,41
300,"Company300",6282,19.3,44.2
301,"Company301",880,12.8,40.6
302,"Company302",847,13.9,47.1
303,"Company303",704,15.7,42.4
304,"Company304",628,20.2,35.9
305,"Company305",1162,12.8,40.6
306,"Company306",2506,17.2,37.1
307,"Company307",240,12.1,35.5
308,"Company308",2225,18.1,42.2
309,"Company309",6199,13.4,43.9
310,"Company310",13809,12.6,39.7
311,"Company311",6612,19.1,38
312,"Company312",3836,18.1,40.2
313,"Company313",320,10.7,37.3
314,"Company314",986,15.6,44.1
315,"Company315",1265,9.5,43.7
316,"Company316",3637,12.2,37.2
317,"Company317",1619,20,40.1
318,"Company318",511,19.4,45.1
319,"Company319",9700,18.1,41.5
320,"Company320",4478,11.9,42
321,"Company321",2282,9.6,43.3
322,"Company322",6085,17.5,43.9
323,"Company323",471,12.9,45.6
324,"Company324",3485,13.3,44.3
325,"Company325",1067,19.2,37.9
326,"Company326",3566,16.4,40.9
327,"Company327",1693,11,42.9
328,"Company328",3389,10.9,41.7
329,"Company329",6843,14.1,35.5
330,"Company330",1813,17.3,39.7
331,"Company331",4979,17.8,45
332,"Company332",548,14,42.5
333,"Company333",874,16.1,37.6
334,"Company334",8223,11.5,42.6
335,"Company335",2625,12.3,41.5
336,"Company336",231,17.9,44
337,"Company337",460,17.8,48.3
338,"Company338",1472,15.6,37.5
339,"Company339",4278,19.9,40.5
340,"Company340",1625,12.1,41.6
341,"Company341",3360,17.7,35.6
342,"Company342",4696,13.9,41.9
343,"Company343",9571,11.5,40.2
344,"Company344",1903,17.4,48.7
345,"Company345",1708,19.1,33.2
346,"Company346",311,17.2,46.5
347,"Company347",1987,12.1,45
348,"Company348",1016,12.3,44.2
349,"Company349",679,19.1,42.4
350,"Company350",1503,15.3,39.9
351,"Company351",4966,17.1,45.3
352,"Company352",245,12.7,39.3
353,"Company353",1174,18.7,44.1
354,"Company354",2022,11,43.2
355,"Company355",736,16.3,45.2
356,"Company356",2513,11,40.2
357,"Company357",2716,14.5,40.3
358,"Company358",1741,17.3,42.9
359,"Company359",152,9.4,42.9
360,"Company360",23552,20.5,46.1
361,"Company361",1465,12.4,43.5
362,"Company362",3452,15.9,42.4
363,"Company363",2366,12.1,44.5
364,"Company364",5015,12.9,40.4
365,"Company365",4077,14.3,45.3
366,"Company366",1459,14,38.9
367,"Company367",2627,13.3,43
368,"Company368",699,12.3,36.9
369,"Company369",4240,20.9,42.7
370,"Company370",1135,20.6,37.3
371,"Company371",20177,9.9,41.3
372,"Company372",345,13.4,36.7
373,"Company373",1131,19.1,40.1
374,"Company374",4108,17.7,39.7
375,"Company375",2997,18.7,43.7
376,"Company376",998,10,40.3
377,"Company377",664,23.5,39.7
378,"Company378",2079,9.8,45.7
379,"Company379",1774,16.8,47
380,"Company380",300,14.5,45.3
381,"Company381",1863,12.5,37.5
382,"Company382",2177,12.6,45.8
383,"Company383",2143,10.3,38.3
384,"Company384",626,20,41.8
385,"Company385",2897,14.3,44.2
386,"Company386",7144,15,41.4
387,"Company387",2840,14.8,41.5
388,"Company388",578,12.6,42.4
389,"Company389",1164,9.8,43.3
390,"Company390",2544,14.9,43.2
391,"Company391",942,10,36.8
392,"Company392",208,10,41.5
393,"Company393",4358,14.4,42.9
394,"Company394",785,19.9,43.8
395,"Company395",1014,15.6,41
396,"Company396",8098,17.3,39.9
397,"Company397",829,10.3,37.9
398,"Company398",4193,13.8,39.8
399,"Company399",510,17,41.6
400,"Company400",1262,13.1,40.1
401,"Company401",1672,13.2,43.8
402,"Company402",559,15.1,43.1
403,"Company403",954,13.8,37.2
404,"Company404",1748,11.9,43
405,"Company405",3520,13.5,43.6
406,"Company406",345,21,41.2
407,"Company407",1268,17.2,41.9
408,"Company408",3835,10.6,40.7
409,"Company409",1050,9.4,41.1
410,"Company410",2259,12.7,39
411,"Company411",2944,18.9,43.3
412,"Company412",2352,15.1,38.3
413,"Company413",3459,11.4,40.2
414,"Company414",1592,17.3,39.3
415,"Company415",1190,13.5,39.4
416,"Company416",128,9.9,40.9
417,"Company417",1640,15.7,40.5
418,"Company418",2767,19.6,39.9
419,"Company419",3074,15.6,41.2
420,"Company420",1033,14.7,37.2
421,"Company421",10668,11.6,42.3
422,"Company422",2396,16.1,43.9
423,"Company423",2042,10,38.2
424,"Company424",6424,13.8,37.8
425,"Company425",877,13.9,48.7
426,"Company426",1147,22.8,42.7
427,"Company427",19791,9.5,42.2
428,"Company428",1820,14.6,41.4
429,"Company429",9219,17,43.5
430,"Company430",427,17.9,42.1
431,"Company431",1487,14,40.4
432,"Company432",2627,11.2,40.7
433,"Company433",2429,13.8,41
434,"Company434",658,21.2,41
435,"Company435",1835,15.8,39.7
436,"Company436",612,19.3,45.2
437,"Company437",3671,16,42.3
438,"Company438",5325,13.9,39.7
439,"Company439",194,13.9,43.8
440,"Company440",6193,13.4,43.1
441,"Company441",520,14.9,41.6
442,"Company442",2836,12.1,43.2
443,"Company443",3482,15,39.3
444,"Company444",1473,10.6,41.4
445,"Company445",944,14.7,39
446,"Company446",2123,18.1,38.4
447,"Company447",2791,15.9,41
448,"Company448",4353,17.8,42.5
449,"Company449",231,10,39.3
450,"Company450",350,14.2,41.5
451,"Company451",7524,16.3,36.5
452,"Company452",5126,10,40.7
453,"Company453",2781,19.8,45.5
454,"Company454",3680,10.2,38.5
455,"Company455",4503,14.6,38.4
456,"Company456",125,14.6,41.3
457,"Company457",5463,14.5,43.6
458,"Company458",1108,13.2,45.7
459,"Company459",2266,15.7,50
460,"Company460",1339,10.2,44.4
461,"Company461",4304,11.6,44
462,"Company462",1270,13.8,48.1
463,"Company463",3023,18.6,41.1
464,"Company464",1217,19.9,41.4
465,"Company465",603,15.2,42.8
466,"Company466",6036,15.4,37.7
467,"Company467",3776,13.1,36.5
468,"Company468",10095,14.2,47.4
469,"Company469",1921,15.1,40.3
470,"Company470",5544,12,40.6
471,"Company471",12977,15.2,39
472,"Company472",1358,12.7,42.4
473,"Company473",479,11.6,43.8
474,"Company474",1416,13.2,41.3
475,"Company475",1453,12.6,42
476,"Company476",2094,18,44.9
477,"Company477",9975,14.8,42
478,"Company478",1299,15.6,40.3
479,"Company479",2613,9.4,41.8
480,"Company480",1433,19.5,39.5
481,"Company481",1837,14.6,42.3
482,"Company482",2464,10.8,39.3
483,"Company483",6793,15.1,46.2
484,"Company484",2032,17.2,34.5
485,"Company485",3671,20.3,43.2
486,"Company486",3922,13.4,40.5
487,"Company487",4493,18.1,48
488,"Company488",1013,14.3,41.3
489,"Company489",9158,12.8,43.4
490,"Company490",1229,9.9,43.2
491,"Company491",1619,13.8,42.7
492,"Company492",7328,17.1,43.6
493,"Company493",6565,19.1,48
494,"Company494",605,19.2,44.8
495,"Company495",751,9.8,42.6
496,"Company496",462,15.7,47.4
497,"Company497",2158,10.2,43.7
498,"Company498",2122,13.5,44
499,"Company499",2590,17.4,45.7
500,"Company500",3126,17.2,42.5
501,"Company501",985,10.9,44.2
502,"Company502",666,12.6,41.2
503,"Company503",5025,10.4,42.4
504,"Company504",3814,15.3,42.1
505,"Company505",397,19.4,40.1
506,"Company506",1636,22.4,48.1
507,"Company507",734,12.3,40.3
508,"Company508",226,16.8,40.9
509,"Company509",2091,14,46
510,"Company510",1662,19.5,41.9
511,"Company511",1632,16.1,45.5
512,"Company512",2234,14.8,40.2
513,"Company513",4350,18,42
514,"Company514",2210,12.7,41.2
515,"Company515",971,13.3,39.1
516,"Company516",863,13.5,41.1
517,"Company517",1577,17.9,40
518,"Company518",2454,9.7,44.6
519,"Company519",636,11.9,41.1
520,"Company520",1497,19.5,41.8
521,"Company521",4735,19,39.5
522,"Company522",1615,18.3,42.6
523,"Company523",895,20.1,37.2
524,"Company524",1365,14.8,33.2
525,"Company525",5487,11.8,47.6
526,"Company526",3119,16.1,44.3
527,"Company527",6199,17.9,43.9
528,"Company528",2068,22.9,35.3
529,"Company529",2713,15,44
530,"Company530",1029,16.4,43.6
531,"Company531",3297,13.8,41.8
532,"Company532",1084,16.7,44.5
533,"Company533",434,11.1,45.4
534,"Company534",2045,15.9,41.6
535,"Company535",12599,17.4,47.8
536,"Company536",4009,18.8,45
537,"Company537",5772,18,45.7
538,"Company538",2577,11.2,41.1
539,"Company539",979,18.9,41.6
540,"Company540",1470,18.2,39.2
541,"Company541",1369,13.1,43.2
542,"Company542",1126,16.8,42.8
543,"Company543",3639,10.8,42.3
544,"Company544",543,13.4,40
545,"Company545",4280,13.7,41.3
546,"Company546",4271,13,48
547,"Company547",542,16.7,39.2
548,"Company548",3411,19.7,40.8
549,"Company549",20450,12.3,37.8
550,"Company550",1031,13.9,38.3
551,"Company551",4189,20.1,41.1
552,"Company552",823,12.8,40.8
553,"Company553",5465,15.9,40.1
554,"Company554",2310,10.7,39.7
555,"Company555",9390,10.3,41.4
556,"Company556",418,19.3,45.4
557,"Company557",1709,23.1,40.9
558,"Company558",1062,10.2,38.2
559,"Company559",1477,17.8,38.8
560,"Company560",959,13.7,36
561,"Company561",781,14.5,36.9
562,"Company562",3210,18.5,39.8
563,"Company563",606,14.8,39.1
564,"Company564",7939,10.8,38.6
565,"Company565",549,12.3,48
566,"Company566",1991,16.5,47.3
567,"Company567",3067,18.1,49.7
568,"Company568",3236,14.1,44.3
569,"Company569",1331,13.3,41.5
570,"Company570",1948,18.8,38.9
571,"Company571",4707,14.7,38.7
572,"Company572",419,14.4,40.5
573,"Company573",823,16.6,45.8
574,"Company574",2479,10.9,44
575,"Company575",1153,13.3,44.7
576,"Company576",7083,18.4,41.4
577,"Company577",3529,16.5,37.3
578,"Company578",1934,16.4,43
579,"Company579",398,11.8,41.4
580,"Company580",1847,18.5,41.1
581,"Company581",1311,18.8,48.6
582,"Company582",1624,11,44.6
583,"Company583",552,18.6,41.3
584,"Company584",2963,13.4,36.3
585,"Company585",636,15.6,41.1
586,"Company586",1435,17,45
587,"Company587",2635,11.6,43.1
588,"Company588",822,12.9,42.8
589,"Company589",3224,12.5,45.1
590,"Company590",482,24.4,41.5
591,"Company591",108,14.5,41
592,"Company592",2865,15.7,41.2
593,"Company593",4171,12.7,44.2
594,"Company594",1352,13.1,41.2
595,"Company595",2979,19.1,44.3
596,"Company596",566,12.7,38.3
597,"Company597",1585,14.1,38.2
598,"Company598",258,15.4,42.4
599,"Company599",5864,12.4,44.3
600,"Company600",11561,21.2,40.8
601,"Company601",5268,21.4,40.3
602,"Company602",1751,12.7,33.5
603,"Company603",1740,19,43.1
604,"Company604",395,17.5,39.3
605,"Company605",3967,17.2,43.2
606,"Company606",1457,11.2,46.3
607,"Company607",933,14.7,40.5
608,"Company608",438,18.2,44.1
609,"Company609",1333,11.2,41.5
610,"Company610",770,13.2,43.1
611,"Company611",1210,19.8,38.5
612,"Company612",532,9.8,43.3
613,"Company613",9731,17.5,45.9
614,"Company614",1771,15.7,47.4
615,"Company615",5273,9.9,38.4
616,"Company616",133,11.5,43.6
617,"Company617",1144,16.9,40.5
618,"Company618",916,14.9,43.6
619,"Company619",529,19.3,41.5
620,"Company620",8451,11.8,41.3
621,"Company621",437,17.9,44
622,"Company622",2474,11.7,44.2
623,"Company623",4196,14.4,42.8
624,"Company624",2151,20.4,43.4
625,"Company625",750,13.1,43.1
626,"Company626",4613,19.7,42.8
627,"Company627",2134,9.9,42.3
628,"Company628",621,17.4,44.7
629,"Company629",449,14.9,44.1
630,"Company630",14505,11.3,44.4
631,"Company631",913,14.3,45.3
632,"Company632",281,14.9,43.6
633,"Company633",3068,15,41.5
634,"Company634",2454,16,38.7
635,"Company635",464,12.3,40.5
636,"Company636",257,12.1,39.4
637,"Company637",1602,14.9,41.1
638,"Company638",5624,12,40.4
639,"Company639",3400,18.5,41.4
640,"Company640",1099,14.6,38.9
641,"Company641",781,11.7,40.1
642,"Company642",2360,11.6,43.1
643,"Company643",2106,21.6,42.6
644,"Company644",3378,11.9,40.8
645,"Company645",1211,10.9,45
646,"Company646",4424,16.4,37.1
647,"Company647",784,15.6,43.4
648,"Company648",1293,16.8,46.7
649,"Company649",3775,13,40.8
650,"Company650",4844,18.2,43.2
651,"Company651",259,9.7,40.3
652,"Company652",2003,13.8,41.9
653,"Company653",3308,11.4,44.4
654,"Company654",421,16.5,39.3
655,"Company655",2910,14.5,40.3
656,"Company656",786,18.1,43.6
657,"Company657",4993,21.6,43.2
658,"Company658",3084,14.5,44.4
659,"Company659",3883,12,45.8
660,"Company660",2030,11,44.3
661,"Company661",4269,13,38.8
662,"Company662",7158,13.7,42.5
663,"Company663",12858,21.4,40.8
664,"Company664",1749,9.8,42
665,"Company665",189,10,44.8
666,"Company666",1857,12.5,42.8
667,"Company667",2210,16.2,42.5
668,"Company668",1541,17,41.6
669,"Company669",3177,10.6,43.2
670,"Company670",4945,14.5,38.5
671,"Company671",1072,13.8,40.7
672,"Company672",1341,18.4,46.8
673,"Company673",2679,18,43.8
674,"Company674",1038,12.8,39.1
675,"Company675",1972,14.2,38.3
676,"Company676",253,16.4,39.1
677,"Company677",587,12.9,43.7
678,"Company678",477,16.1,43.3
679,"Company679",766,12.1,40.3
680,"Company680",899,13.8,40.9
681,"Company681",2638,13.9,44.9
682,"Company682",4806,11.3,41.1
683,"Company683",869,10.3,41.8
684,"Company684",664,13.3,43.1
685,"Company685",635,12.7,41.5
686,"Company686",1189,17.1,39.8
687,"Company687",1417,19.7,40.8
688,"Company688",2919,14,38.8
689,"Company689",1305,15.5,43.4
690,"Company690",225,13.7,46
691,"Company691",1642,16.2,42.7
692,"Company692",5900,14.8,44.4
693,"Company693",5926,14.9,40
694,"Company694",817,18.1,41.6
695,"Company695",382,10.3,41.6
696,"Company696",21027,19.4,37.7
697,"Company697",1530,15.3,42.3
698,"Company698",1632,14.7,43.4
699,"Company699",2741,11.9,44.1
700,"Company700",358,13.4,45.9
701,"Company701",868,15.4,37.6
702,"Company702",385,11.8,43.9
703,"Company703",900,16.2,44.2
704,"Company704",2027,12.9,41.4
705,"Company705",459,11,43.8
706,"Company706",3247,11.6,37.8
707,"Company707",2403,14.9,42.6
708,"Company708",728,17.2,32.6
709,"Company709",2257,12.1,42.9
710,"Company710",3803,11.1,46.8
711,"Company711",5201,9.4,46.6
712,"Company712",1454,10,34
713,"Company713",1639,14.9,43.6
714,"Company714",1650,13.6,41
715,"Company715",7608,12.9,41.9
716,"Company716",5544,13.5,35.4
717,"Company717",4146,10.8,43.2
718,"Company718",1350,11.1,40.4
719,"Company719",2614,17.9,43.1
720,"Company720",2694,14.6,41.4
721,"Company721",635,10.1,38.9
722,"Company722",319,12.3,43
723,"Company723",3419,12.9,43.8
724,"Company724",390,11.5,42.2
725,"Company725",1803,10.4,43.7
726,"Company726",2311,13.8,40.6
727,"Company727",3163,16.7,45.9
728,"Company728",2175,14.8,40.9
729,"Company729",864,13.3,40.3
730,"Company730",4826,15.4,45.1
731,"Company731",10241,16.9,45.3
732,"Company732",4344,13.5,44
733,"Company733",257,15.7,42.7
734,"Company734",7296,9.8,46.8
735,"Company735",1701,13.1,39
736,"Company736",3042,12.4,45.4
737,"Company737",3352,14.7,47.1
738,"Company738",1634,15.3,42.2
739,"Company739",1669,13.5,43.8
740,"Company740",4987,11.2,43.8
741,"Company741",3667,10.6,45.6
742,"Company742",4845,15,39.4
743,"Company743",19505,19,44.7
744,"Company744",3498,11.1,36.9
745,"Company745",2214,12.6,48.2
746,"Company746",197,15.2,40.3
747,"Company747",26562,11.9,41.1
748,"Company748",1110,14.4,42.8
749,"Company749",19346,13.8,38.2
750,"Company750",2618,11.1,41.2
751,"Company751",8383,17.1,42.2
752,"Company752",1612,17.1,41
753,"Company753",3001,17.8,48.1
754,"Company754",2229,18.7,36.6
755,"Company755",1494,12.1,41.7
756,"Company756",1595,12.3,45.5
757,"Company757",4956,15,39.5
758,"Company758",1471,16.3,41.6
759,"Company759",234,12.7,47.8
760,"Company760",1479,12.4,36.4
761,"Company761",3088,11.7,39.6
762,"Company762",3334,19.5,38.4
763,"Company763",3334,13.4,43.9
764,"Company764",331,14.1,39.4
765,"Company765",2602,10.1,43.4
766,"Company766",4738,15.4,40.1
767,"Company767",6451,17.5,41.5
768,"Company768",1437,11.2,44.6
769,"Company769",1304,14.6,42.4
770,"Company770",7969,11.6,36.2
771,"Company771",339,11.9,40.4
772,"Company772",1162,15.2,44.1
773,"Company773",2844,10.1,47.6
774,"Company774",357,13.7,38.7
775,"Company775",2380,15.8,41.3
776,"Company776",11771,20,41.8
777,"Company777",1792,15.8,39.8
778,"Company778",1362,20.3,37.9
779,"Company779",2894,15.7,47.5
780,"Company780",1361,14,46.4
781,"Company781",4060,9.5,37.8
782,"Company782",4446,12.8,36.3
783,"Company783",1804,16.6,41.2
784,"Company784",554,12.8,43.3
785,"Company785",481,16,41.6
786,"Company786",994,10.1,45.4
787,"Company787",3995,13,41.3
788,"Company788",254,14.8,38.5
789,"Company789",272,12.7,46.6
790,"Company790",936,14.4,41.3
791,"Company791",2670,11.5,41.1
792,"Company792",721,15.4,41.2
793,"Company793",4369,13.7,42.2
794,"Company794",2512,13.8,35
795,"Company795",1517,11.5,44
796,"Company796",4082,12.2,44.2
797,"Company797",2654,13.4,43.9
798,"Company798",1152,15,40.8
799,"Company799",2268,18,42.3
800,"Company800",3439,15.6,37.7
801,"Company801",2570,17.7,43.1
802,"Company802",932,12.1,39.5
803,"Company803",4233,12.9,46
804,"Company804",5701,18,39.2
805,"Company805",2372,14,35.8
