顧客ID,購入回数,平均購入額（円）,カート放棄率（%）,訪問回数,滞在時間（秒）,流入経路,デバイス,購買カテゴリ
10072,1,10146,54,48,430,直接,スマホ,アクセサリー
10073,3,5971,46,26,75,SNS,PC,レディース
10074,0,14490,11,18,492,直接,PC,メンズ
10075,0,18589,61,6,339,広告,スマホ,メンズ
10076,2,13951,79,37,115,直接,タブレット,メンズ
10077,4,13312,87,48,121,SNS,タブレット,レディース
10078,1,2990,82,13,271,検索,PC,アクセサリー
10079,5,6299,7,28,31,直接,タブレット,メンズ
10080,3,13997,94,5,254,直接,スマホ,なし
10081,0,14472,20,13,145,SNS,スマホ,メンズ
10082,4,5380,80,17,132,SNS,PC,メンズ
10083,1,5757,86,40,223,直接,スマホ,メンズ
10084,6,11395,79,45,195,広告,PC,メンズ
10085,3,17241,69,32,119,直接,スマホ,アクセサリー
10086,1,6588,71,29,151,SNS,PC,なし
10087,1,18350,24,3,172,検索,タブレット,アクセサリー
10088,0,5944,81,40,135,検索,スマホ,なし
10089,3,14395,88,34,457,広告,スマホ,メンズ
10090,2,18072,11,40,334,直接,PC,レディース
10091,4,5243,14,27,346,検索,PC,アクセサリー
10092,5,10916,58,13,38,直接,スマホ,レディース
10093,1,10984,25,45,102,SNS,PC,アクセサリー
10094,0,2759,25,33,388,検索,スマホ,メンズ
10095,5,10181,46,6,252,広告,タブレット,アクセサリー
10096,5,3482,31,24,445,SNS,PC,メンズ
10097,1,1951,9,19,582,広告,スマホ,アクセサリー
10098,0,3079,15,16,399,SNS,タブレット,メンズ
10099,2,3717,70,40,293,検索,タブレット,メンズ
10100,2,10692,16,28,347,広告,スマホ,なし
10101,2,8311,22,33,113,広告,PC,メンズ
10102,6,19449,25,48,347,SNS,スマホ,なし
10103,6,1768,84,41,140,広告,タブレット,メンズ
10104,5,6490,85,13,280,SNS,スマホ,レディース
10105,5,16534,6,43,412,SNS,PC,メンズ
10106,0,7645,13,45,36,SNS,タブレット,レディース
10107,2,6232,78,25,488,SNS,スマホ,レディース
10108,5,12485,6,42,113,検索,PC,メンズ
10109,5,6797,8,36,237,SNS,タブレット,レディース
10110,1,13342,47,27,419,直接,PC,なし
10111,4,9038,71,38,343,広告,タブレット,アクセサリー
10112,3,17002,58,7,51,直接,スマホ,メンズ
10113,2,14087,86,5,439,検索,PC,レディース
10114,2,5873,92,43,544,直接,タブレット,メンズ
10115,2,2481,81,45,156,広告,PC,なし
10116,6,11093,94,31,43,直接,PC,メンズ
10117,4,15422,93,23,41,検索,スマホ,メンズ
10118,1,17438,38,42,116,SNS,PC,レディース
10119,1,8643,98,10,553,直接,タブレット,なし
10120,1,16708,17,32,566,検索,タブレット,アクセサリー
10121,5,12271,58,43,330,検索,タブレット,アクセサリー
10122,3,18216,16,30,272,広告,タブレット,レディース
10123,1,13600,13,39,151,広告,スマホ,メンズ
10124,3,11998,30,31,176,直接,PC,レディース
10125,6,15295,23,18,596,SNS,スマホ,レディース
10126,2,11682,98,36,385,検索,PC,レディース
10127,5,17380,59,2,338,直接,PC,メンズ
10128,2,9519,44,14,317,検索,PC,なし
10129,1,4300,97,13,336,検索,スマホ,レディース
10130,7,7722,2,29,578,SNS,PC,メンズ
10131,8,8218,36,12,381,SNS,スマホ,なし
10132,0,4054,42,39,341,直接,タブレット,レディース
10133,3,14575,39,2,88,SNS,タブレット,アクセサリー
10134,6,8970,89,32,64,SNS,PC,なし
10135,1,3143,54,13,474,直接,スマホ,レディース
10136,9,10503,86,46,122,SNS,タブレット,なし
10137,3,16149,38,27,236,広告,スマホ,なし
10138,3,19922,14,49,382,検索,スマホ,なし
10139,6,13175,3,41,361,検索,PC,なし
10140,2,9356,92,17,188,検索,タブレット,なし
10141,0,16070,85,40,53,検索,PC,なし
10142,4,1822,24,31,433,直接,PC,レディース
10143,0,18327,12,34,545,検索,タブレット,アクセサリー
10144,3,15289,81,24,393,検索,タブレット,メンズ
10145,5,7150,32,45,411,検索,スマホ,なし
10146,5,5425,15,35,561,検索,タブレット,メンズ
10147,4,17032,41,48,181,広告,スマホ,レディース
10148,1,3198,65,6,591,検索,スマホ,なし
10149,1,4452,54,19,449,広告,スマホ,アクセサリー
10150,1,10106,98,30,279,直接,タブレット,メンズ
10151,2,14859,41,7,146,SNS,PC,なし
10152,3,18692,33,10,541,検索,スマホ,レディース
10153,1,9705,29,41,364,SNS,PC,アクセサリー
10154,1,11112,12,32,447,SNS,PC,メンズ
10155,1,5841,12,34,324,直接,タブレット,メンズ
10156,2,16358,17,28,400,SNS,PC,なし
10157,3,2409,31,15,215,広告,PC,アクセサリー
10158,2,5566,95,30,275,SNS,タブレット,アクセサリー
10159,2,12382,98,37,297,SNS,スマホ,アクセサリー
10160,3,18939,38,29,266,SNS,PC,アクセサリー
10161,2,15596,45,22,559,検索,タブレット,レディース
10162,4,1804,28,4,581,検索,PC,アクセサリー
10163,4,14221,61,20,50,広告,PC,メンズ
10164,1,2279,92,32,549,広告,スマホ,メンズ
10165,2,14192,61,36,129,検索,PC,レディース
10166,1,8083,56,4,507,広告,タブレット,メンズ
10167,2,12093,15,27,327,検索,PC,メンズ
10168,3,18771,55,17,555,直接,スマホ,アクセサリー
10169,2,13880,9,12,363,SNS,スマホ,メンズ
10170,4,16517,29,22,31,SNS,タブレット,レディース
10171,3,3106,24,17,404,広告,スマホ,アクセサリー
10172,4,17086,83,10,322,検索,PC,なし
10173,1,5831,4,1,582,検索,スマホ,アクセサリー
10174,1,4186,64,22,347,広告,タブレット,レディース
10175,1,3573,93,26,531,検索,スマホ,アクセサリー
10176,2,13808,48,18,410,直接,スマホ,アクセサリー
10177,2,3599,2,14,43,SNS,スマホ,レディース
10178,5,5033,44,47,533,広告,タブレット,アクセサリー
10179,5,9428,13,29,260,広告,スマホ,レディース
10180,2,2304,29,12,113,検索,スマホ,レディース
10181,2,18685,67,36,159,広告,PC,なし
10182,3,19925,17,35,174,直接,タブレット,メンズ
10183,2,19435,61,12,57,検索,スマホ,メンズ
10184,1,9633,36,7,95,検索,タブレット,アクセサリー
10185,2,12372,24,29,192,検索,スマホ,アクセサリー
10186,5,9996,47,11,258,検索,スマホ,なし
10187,5,17458,64,33,290,直接,スマホ,なし
10188,3,6475,52,6,478,検索,PC,なし
10189,4,8184,78,47,453,広告,PC,レディース
10190,1,13875,72,15,489,直接,PC,なし
10191,3,2622,14,32,330,SNS,タブレット,なし
10192,4,16988,48,11,332,SNS,タブレット,アクセサリー
10193,3,9041,87,23,316,広告,PC,なし
10194,3,17725,67,26,424,広告,タブレット,レディース
10195,3,19458,11,34,39,直接,スマホ,レディース
10196,3,8992,58,46,299,SNS,スマホ,アクセサリー
10197,5,16646,36,34,390,SNS,スマホ,なし
10198,3,18029,60,29,286,SNS,PC,なし
10199,5,5263,42,4,162,SNS,タブレット,レディース
10200,2,15060,69,17,305,SNS,PC,なし
