顧客ID,購入回数,平均購入額（円）,カート放棄率（%）,訪問回数,滞在時間（秒）,流入経路,デバイス,購買カテゴリ,ヤング・メンズ・トップス,ヤング・メンズ・ボトムズ,ヤング・メンズ・アウター,ヤング・メンズ・アクセサリー,ヤング・レディース・トップス,ヤング・レディース・ボトムズ,ヤング・レディース・アウター,ヤング・レディース・アクセサリー,アダルト・メンズ・トップス,アダルト・メンズ・ボトムズ,アダルト・メンズ・アウター,アダルト・メンズ・アクセサリー,アダルト・レディース・トップス,アダルト・レディース・ボトムズ,アダルト・レディース・アウター,アダルト・レディース・アクセサリー,シニア・メンズ・トップス,シニア・メンズ・ボトムズ,シニア・メンズ・アウター,シニア・メンズ・アクセサリー,シニア・レディース・トップス,シニア・レディース・ボトムズ,シニア・レディース・アウター,シニア・レディース・アクセサリー
10017,1,11789,35,34,113,検索,タブレット,なし,2,1,6,8,1,7,7,7,7,3,2,3,3,9,7,2,3,5,3,10,1,4,7,9
10018,2,12397,25,26,482,検索,スマホ,なし,8,3,3,4,6,6,5,4,6,8,5,9,2,9,10,0,2,10,0,3,2,4,9,4
10019,3,13999,28,41,416,直接,スマホ,レディース,2,9,1,10,5,1,7,1,3,1,6,4,5,1,3,8,8,0,8,3,4,6,1,9
10020,2,1814,20,49,536,直接,スマホ,レディース,3,0,9,8,6,7,0,2,7,0,0,3,0,2,0,7,2,2,8,10,8,3,9,5
10021,3,17729,10,3,286,直接,タブレット,メンズ,8,1,5,3,10,5,0,8,10,8,4,2,1,5,6,3,7,8,4,9,1,10,4,7
10022,4,11541,39,6,599,直接,タブレット,レディース,3,6,8,1,3,9,8,5,10,9,4,0,6,4,5,7,1,4,10,5,10,5,10,5
10023,1,3443,10,5,556,広告,PC,なし,10,0,1,2,4,2,3,7,9,7,0,5,10,10,4,4,3,4,8,5,0,8,7,3
10024,3,11457,35,5,191,広告,PC,メンズ,2,0,0,0,5,3,2,7,10,6,3,9,2,4,3,2,0,7,9,7,10,3,10,2
10025,3,11380,58,47,192,SNS,タブレット,メンズ,6,1,7,4,8,6,5,4,1,7,9,4,0,1,5,0,10,10,8,8,5,10,7,1
10026,3,8783,38,23,553,直接,タブレット,メンズ,5,3,0,0,1,2,9,0,6,0,0,10,1,1,7,9,4,10,6,0,2,5,4,0
10027,5,12473,98,49,300,広告,タブレット,なし,0,6,0,10,10,0,8,5,4,8,0,0,9,0,5,4,1,1,7,0,6,8,7,1
10028,0,18368,53,9,521,検索,タブレット,アクセサリー,9,3,2,0,8,5,9,6,10,9,6,4,9,2,2,10,10,6,0,5,5,9,5,1
10029,1,16328,97,35,237,直接,PC,なし,7,4,4,10,9,2,10,8,5,10,6,5,8,10,8,5,0,8,3,3,10,0,4,4
10030,4,1827,54,20,568,SNS,タブレット,レディース,0,3,8,10,0,10,3,1,2,8,2,9,6,6,2,3,0,6,9,10,6,7,10,8
10031,3,8147,23,49,89,SNS,PC,レディース,3,3,10,6,3,9,8,1,10,10,6,4,6,10,3,6,1,4,9,3,4,0,3,0
10032,1,5451,21,42,459,SNS,タブレット,なし,5,8,9,1,4,5,4,9,9,8,2,0,9,4,4,2,4,5,3,0,0,3,4,3
10033,7,16343,68,35,338,検索,タブレット,なし,5,5,1,7,8,9,6,0,6,5,1,4,7,6,10,6,8,3,8,8,2,2,3,9
10034,3,14635,55,18,549,広告,タブレット,メンズ,6,2,0,5,5,2,2,4,6,3,9,9,7,8,1,0,5,6,2,10,2,3,0,6
10035,4,6959,32,17,56,検索,PC,なし,10,5,0,3,3,5,2,1,1,1,3,0,8,5,10,6,3,0,9,2,6,6,2,10
10036,2,1126,35,24,591,直接,PC,メンズ,4,6,7,8,1,10,2,2,0,10,9,10,1,1,9,0,2,3,9,4,2,8,7,9
10037,1,9795,19,3,228,SNS,スマホ,レディース,4,6,9,9,4,3,7,1,9,3,2,2,7,0,10,10,7,2,0,9,10,8,6,2
10038,4,12641,82,32,416,検索,タブレット,メンズ,3,7,9,7,7,3,5,10,1,6,6,1,7,0,9,0,2,3,10,0,4,9,6,7
10039,4,8196,98,35,378,検索,スマホ,なし,5,3,9,9,7,9,8,3,7,0,0,0,4,9,1,1,0,0,4,7,3,0,10,2
10040,1,12559,80,38,565,広告,スマホ,レディース,6,0,1,2,5,9,8,10,10,8,5,3,4,8,5,1,3,1,6,2,3,9,2,7
10041,2,4368,61,13,407,広告,PC,アクセサリー,9,5,8,2,10,10,7,2,9,2,1,1,3,5,1,3,10,10,3,0,6,0,8,1
10042,3,4797,97,47,587,SNS,PC,メンズ,9,7,8,3,0,1,0,8,2,3,7,4,4,5,9,0,4,8,8,9,0,8,5,4
10043,5,16114,72,25,556,検索,スマホ,レディース,0,4,1,8,7,3,5,9,10,4,4,9,1,3,0,3,4,6,5,5,6,3,7,3
10044,5,14718,25,9,182,検索,タブレット,メンズ,8,2,2,8,3,10,3,1,3,2,2,0,1,1,7,1,4,5,5,0,7,2,7,10
10045,3,2792,65,4,235,広告,PC,レディース,7,3,1,4,1,3,3,6,7,3,9,9,4,9,9,3,7,1,2,2,2,8,2,8
10046,2,12053,72,14,484,検索,タブレット,レディース,6,7,5,8,0,10,2,10,2,4,6,0,10,2,9,3,7,0,9,4,2,4,3,2
10047,3,4476,72,37,302,検索,タブレット,メンズ,8,5,6,5,6,6,8,2,5,0,10,10,2,2,0,8,3,1,9,3,3,5,5,10
10048,3,4417,39,34,265,検索,スマホ,アクセサリー,2,4,5,7,1,4,1,9,1,8,1,9,0,7,9,8,8,6,4,6,5,0,1,4
10049,1,2645,16,11,550,広告,スマホ,レディース,9,8,2,10,3,7,0,7,2,9,4,3,8,5,5,0,0,1,9,5,6,0,10,9
10050,6,15755,0,41,530,SNS,スマホ,レディース,3,9,2,7,3,6,9,3,0,9,10,6,1,6,0,4,4,2,5,2,0,6,6,8
10051,1,4072,88,3,146,直接,スマホ,レディース,6,2,1,9,9,9,2,3,8,3,7,1,9,8,7,6,4,7,3,10,3,9,1,5
10052,5,2854,60,28,415,SNS,PC,アクセサリー,5,6,1,6,0,8,3,8,3,8,10,1,1,0,4,3,4,6,2,7,6,7,10,1
10053,4,5662,42,29,373,直接,PC,アクセサリー,1,8,10,3,1,7,3,10,5,3,0,0,3,1,2,4,7,10,4,7,10,10,4,0
10054,3,7514,41,9,424,検索,スマホ,なし,1,10,4,3,0,8,5,2,6,0,0,4,1,8,4,1,8,10,6,1,1,7,3,10
10055,2,3708,24,3,93,SNS,PC,メンズ,9,10,10,5,5,0,0,6,1,4,2,5,6,4,0,2,2,10,10,6,0,6,8,0
10056,3,12694,38,25,101,直接,スマホ,アクセサリー,6,3,10,8,2,9,0,0,7,8,2,5,9,3,0,6,8,8,5,0,0,10,1,6
10057,2,10524,34,34,303,広告,タブレット,メンズ,8,9,7,6,0,2,1,6,8,2,6,1,0,0,3,9,10,3,1,1,9,8,6,1
10058,6,7456,2,12,349,広告,タブレット,なし,10,9,5,4,7,4,3,9,9,4,5,6,10,8,8,6,7,6,0,7,5,0,6,6
10059,2,5212,43,42,367,SNS,タブレット,メンズ,8,2,8,4,3,8,6,10,10,2,6,5,1,10,8,3,2,0,4,0,4,1,6,0
10060,6,14224,50,9,395,SNS,スマホ,アクセサリー,6,0,10,7,9,7,5,1,1,2,3,7,10,8,0,0,1,10,4,1,0,2,0,3
10061,3,8970,93,15,524,検索,タブレット,メンズ,10,8,4,5,6,9,10,5,4,0,10,5,4,3,2,0,3,10,5,0,9,4,7,9
10062,0,17920,97,40,195,SNS,PC,アクセサリー,7,0,9,0,9,6,8,8,1,1,1,8,1,8,3,3,1,1,2,4,2,3,1,10
10063,5,2625,11,25,573,検索,タブレット,メンズ,9,1,3,0,1,1,6,5,10,1,1,9,8,9,1,3,3,6,0,6,10,3,4,3
10064,0,11314,18,5,40,検索,タブレット,アクセサリー,2,8,8,8,5,10,4,2,4,8,9,1,3,0,6,5,4,1,3,5,6,7,1,4
10065,6,8973,43,11,330,広告,タブレット,アクセサリー,0,4,9,7,5,5,5,0,6,6,0,6,8,4,2,6,1,5,3,5,8,7,4,9
10066,2,9577,58,34,131,広告,PC,メンズ,6,3,10,5,6,3,9,3,5,7,8,4,10,0,0,8,7,9,9,5,8,10,6,0
10067,4,9070,48,24,454,直接,スマホ,なし,7,8,4,0,0,4,8,3,3,1,6,0,0,3,0,8,0,8,1,7,5,6,5,6
10068,3,9666,60,15,421,広告,PC,レディース,1,8,0,1,0,4,0,7,1,8,9,2,0,4,2,9,2,10,7,4,2,0,4,10
10069,5,4600,16,38,243,広告,スマホ,なし,8,1,4,9,1,3,10,9,6,2,2,3,0,10,5,4,6,4,5,9,0,9,3,1
10070,8,7783,73,8,117,SNS,スマホ,メンズ,3,2,4,2,10,3,8,9,9,9,1,1,3,2,3,9,9,9,2,6,2,3,7,10
10071,4,14226,56,5,582,広告,タブレット,なし,9,2,4,9,1,3,5,6,8,1,2,6,8,1,0,10,0,6,0,2,9,0,10,10
10072,1,10146,54,48,430,直接,スマホ,アクセサリー,10,4,1,2,4,10,3,9,0,0,6,0,7,5,6,2,10,0,10,8,1,10,7,1
10073,3,5971,46,26,75,SNS,PC,レディース,8,2,5,1,0,1,4,6,2,8,4,2,6,10,1,2,1,7,2,9,10,4,0,7
10074,0,14490,11,18,492,直接,PC,メンズ,2,9,4,1,10,0,0,6,6,7,2,8,0,2,4,5,2,8,7,2,4,2,9,8
10075,0,18589,61,6,339,広告,スマホ,メンズ,7,5,1,5,1,1,6,1,8,10,8,10,2,9,7,0,1,4,3,5,7,2,1,5
10076,2,13951,79,37,115,直接,タブレット,メンズ,10,1,9,6,5,6,7,8,4,3,1,1,8,0,6,6,1,5,2,2,4,3,2,10
10077,4,13312,87,48,121,SNS,タブレット,レディース,1,5,7,3,2,0,10,5,6,6,6,4,8,10,10,2,10,10,10,0,0,1,0,0
10078,1,2990,82,13,271,検索,PC,アクセサリー,2,5,5,0,3,5,4,1,9,2,9,3,4,4,7,4,5,7,3,0,2,6,10,0
10079,5,6299,7,28,31,直接,タブレット,メンズ,0,1,10,5,0,3,1,0,6,2,5,2,5,1,9,6,6,3,10,2,4,3,2,10
10080,3,13997,94,5,254,直接,スマホ,なし,4,5,9,6,4,1,7,10,3,3,5,4,10,1,10,6,5,1,3,3,6,4,9,6
10081,0,14472,20,13,145,SNS,スマホ,メンズ,3,5,10,3,3,2,9,0,4,1,6,5,5,3,5,8,10,9,1,1,4,1,7,7
10082,4,5380,80,17,132,SNS,PC,メンズ,0,5,2,5,7,6,6,0,1,9,5,0,9,3,6,0,5,7,3,8,9,5,3,2
10083,1,5757,86,40,223,直接,スマホ,メンズ,9,4,8,8,2,5,9,3,7,3,1,1,3,3,8,2,8,1,10,10,4,8,6,8
10084,6,11395,79,45,195,広告,PC,メンズ,8,6,10,3,9,5,8,3,0,9,10,0,0,6,5,8,7,4,8,7,6,7,6,3
10085,3,17241,69,32,119,直接,スマホ,アクセサリー,5,4,10,9,0,7,3,8,1,2,4,2,4,0,8,7,7,5,3,2,7,7,10,3
10086,1,6588,71,29,151,SNS,PC,なし,5,10,3,3,9,7,10,0,2,7,2,7,0,7,1,1,5,4,0,6,7,1,4,2
10087,1,18350,24,3,172,検索,タブレット,アクセサリー,10,0,2,9,4,5,8,2,6,10,8,7,0,9,1,7,4,5,0,3,6,3,0,7
10088,0,5944,81,40,135,検索,スマホ,なし,1,8,6,4,0,0,3,2,5,1,7,3,10,8,1,7,8,5,0,4,2,7,9,8
10089,3,14395,88,34,457,広告,スマホ,メンズ,6,2,7,2,10,9,2,7,6,10,9,5,4,9,5,1,1,2,4,3,10,10,3,0
10090,2,18072,11,40,334,直接,PC,レディース,8,1,6,9,4,6,10,1,10,8,10,8,4,5,1,7,6,10,5,8,1,0,6,1
10091,4,5243,14,27,346,検索,PC,アクセサリー,5,9,0,1,8,7,2,5,4,2,1,6,6,3,2,2,5,10,5,10,0,7,4,0
10092,5,10916,58,13,38,直接,スマホ,レディース,10,5,0,8,4,4,9,10,3,3,0,1,1,5,7,6,6,2,5,6,5,2,1,3
10093,1,10984,25,45,102,SNS,PC,アクセサリー,7,7,4,0,1,10,1,3,6,9,3,10,5,9,7,8,3,8,8,3,8,7,7,9
10094,0,2759,25,33,388,検索,スマホ,メンズ,4,1,7,4,1,3,9,9,2,9,3,1,1,6,10,3,8,2,0,7,2,5,1,6
10095,5,10181,46,6,252,広告,タブレット,アクセサリー,1,3,9,4,9,6,2,5,9,2,9,2,9,5,3,10,6,2,9,1,4,6,10,6
10096,5,3482,31,24,445,SNS,PC,メンズ,3,1,10,7,8,10,7,4,6,2,10,7,4,10,8,5,1,10,5,6,8,1,7,5
10097,1,1951,9,19,582,広告,スマホ,アクセサリー,0,8,2,5,4,5,10,8,1,7,1,9,3,0,7,8,3,1,7,10,8,0,10,10
10098,0,3079,15,16,399,SNS,タブレット,メンズ,0,9,7,5,10,5,7,8,7,7,6,8,10,4,0,10,4,6,7,0,6,5,1,4
10099,2,3717,70,40,293,検索,タブレット,メンズ,5,1,2,5,7,2,1,0,5,5,2,2,9,7,7,10,1,9,2,7,3,2,10,10
10100,2,10692,16,28,347,広告,スマホ,なし,1,9,3,3,9,10,10,2,2,3,6,8,4,7,0,4,9,9,4,5,10,3,4,3
10101,2,8311,22,33,113,広告,PC,メンズ,5,1,9,0,3,9,1,0,2,0,6,9,1,9,3,0,7,3,9,4,1,8,3,7
10102,6,19449,25,48,347,SNS,スマホ,なし,0,4,6,2,1,3,1,5,4,3,0,7,7,8,9,2,0,0,3,8,1,2,0,6
10103,6,1768,84,41,140,広告,タブレット,メンズ,10,4,2,9,3,4,9,2,2,7,5,4,7,3,5,10,2,5,0,8,3,1,7,10
10104,5,6490,85,13,280,SNS,スマホ,レディース,9,6,3,10,10,8,6,0,5,5,3,10,5,9,6,8,0,4,8,2,0,1,9,10
10105,5,16534,6,43,412,SNS,PC,メンズ,2,0,7,5,3,7,5,5,1,1,10,9,2,5,9,2,4,10,4,8,3,1,2,9
10106,0,7645,13,45,36,SNS,タブレット,レディース,8,1,3,4,10,2,10,4,7,2,7,2,3,6,3,10,7,1,1,8,10,5,3,0
10107,2,6232,78,25,488,SNS,スマホ,レディース,1,10,8,9,8,5,0,7,10,6,7,10,0,4,7,10,6,5,1,1,5,1,3,5
10108,5,12485,6,42,113,検索,PC,メンズ,7,10,3,0,9,9,1,1,10,10,2,6,8,10,7,9,8,0,10,4,5,10,4,1
10109,5,6797,8,36,237,SNS,タブレット,レディース,5,5,3,4,10,0,0,7,8,10,3,8,9,7,8,1,1,2,6,10,6,6,2,3
10110,1,13342,47,27,419,直接,PC,なし,5,1,4,1,5,2,10,4,6,3,0,5,4,2,5,3,7,3,3,1,4,6,8,4
10111,4,9038,71,38,343,広告,タブレット,アクセサリー,6,3,0,0,9,9,6,7,2,3,9,2,7,7,3,4,7,2,0,0,8,6,3,7
10112,3,17002,58,7,51,直接,スマホ,メンズ,4,9,6,3,5,6,5,9,10,4,1,4,2,4,1,6,5,5,4,6,1,1,9,5
10113,2,14087,86,5,439,検索,PC,レディース,10,5,8,5,4,6,1,3,9,7,6,6,3,0,6,6,2,10,1,3,1,6,10,10
10114,2,5873,92,43,544,直接,タブレット,メンズ,3,6,8,6,5,1,1,3,3,6,10,7,3,5,9,8,1,3,6,4,3,9,10,1
10115,2,2481,81,45,156,広告,PC,なし,5,9,0,8,0,2,1,9,9,8,6,3,7,1,2,7,7,0,8,3,3,7,3,4
10116,6,11093,94,31,43,直接,PC,メンズ,7,4,5,4,4,6,7,3,1,4,8,1,8,6,10,1,5,4,0,5,3,7,5,4
10117,4,15422,93,23,41,検索,スマホ,メンズ,3,7,2,7,5,5,6,10,8,0,9,9,2,8,2,7,3,4,1,10,0,1,7,5
10118,1,17438,38,42,116,SNS,PC,レディース,4,5,3,7,7,6,0,5,4,3,8,1,6,2,2,7,4,8,10,1,3,4,6,0
10119,1,8643,98,10,553,直接,タブレット,なし,6,4,7,10,3,9,3,3,1,5,8,2,8,9,3,4,4,7,5,7,4,5,3,7
10120,1,16708,17,32,566,検索,タブレット,アクセサリー,5,3,3,8,4,8,10,8,9,5,5,7,1,3,1,2,8,7,7,3,8,8,3,2
10121,5,12271,58,43,330,検索,タブレット,アクセサリー,3,5,7,2,3,7,3,8,5,8,7,0,3,3,4,8,8,4,6,7,2,5,4,4
10122,3,18216,16,30,272,広告,タブレット,レディース,3,5,3,2,6,5,6,2,6,9,8,6,2,3,2,6,7,7,8,2,2,9,9,6
10123,1,13600,13,39,151,広告,スマホ,メンズ,9,5,8,8,9,3,1,6,1,4,6,5,7,2,9,0,7,9,1,10,4,5,4,2
10124,3,11998,30,31,176,直接,PC,レディース,3,0,5,6,5,9,3,4,0,4,3,1,3,4,4,7,1,6,8,4,9,9,0,9
10125,6,15295,23,18,596,SNS,スマホ,レディース,0,5,0,3,3,8,0,8,6,5,3,8,8,8,6,9,2,0,3,2,5,9,7,5
10126,2,11682,98,36,385,検索,PC,レディース,4,0,9,0,5,6,10,1,0,10,5,4,0,10,8,4,7,6,10,6,2,5,9,4
10127,5,17380,59,2,338,直接,PC,メンズ,7,4,1,6,3,4,10,2,2,5,10,1,0,7,1,5,4,10,2,2,0,8,4,6
10128,2,9519,44,14,317,検索,PC,なし,6,6,6,9,7,1,3,9,3,2,3,2,3,9,8,8,6,7,6,7,9,9,2,9
10129,1,4300,97,13,336,検索,スマホ,レディース,4,0,9,5,10,8,10,4,1,5,10,6,2,1,9,9,7,2,4,8,7,6,2,10
10130,7,7722,2,29,578,SNS,PC,メンズ,2,0,6,2,2,6,0,4,6,7,6,6,2,8,5,7,5,8,4,1,0,0,3,2
10131,8,8218,36,12,381,SNS,スマホ,なし,10,5,2,4,7,8,1,9,4,5,7,9,9,9,5,10,4,7,1,2,1,0,6,1
10132,0,4054,42,39,341,直接,タブレット,レディース,0,6,0,2,1,10,1,6,0,10,7,0,1,1,10,2,7,1,5,6,2,3,4,3
10133,3,14575,39,2,88,SNS,タブレット,アクセサリー,6,5,7,7,5,8,9,7,7,4,7,9,9,6,2,4,0,5,5,4,5,1,0,2
10134,6,8970,89,32,64,SNS,PC,なし,10,4,9,4,7,9,2,7,9,2,1,10,9,4,9,3,0,3,3,9,3,2,4,3
10135,1,3143,54,13,474,直接,スマホ,レディース,2,5,10,9,0,4,7,0,6,0,9,10,1,6,8,0,0,2,4,6,3,6,4,6
10136,9,10503,86,46,122,SNS,タブレット,なし,3,2,10,9,5,6,10,0,3,4,1,3,7,4,3,4,2,10,6,1,8,6,5,4
10137,3,16149,38,27,236,広告,スマホ,なし,4,8,9,5,8,4,5,2,1,5,1,5,0,5,4,9,9,5,7,3,5,2,6,3
10138,3,19922,14,49,382,検索,スマホ,なし,7,4,6,1,9,2,5,0,6,5,1,7,7,7,2,6,5,9,5,0,1,1,4,5
10139,6,13175,3,41,361,検索,PC,なし,6,1,9,7,9,9,8,0,10,5,3,2,9,0,4,0,5,8,4,4,6,0,10,6
10140,2,9356,92,17,188,検索,タブレット,なし,8,9,7,8,1,7,7,9,1,2,4,2,2,10,7,3,4,1,2,7,2,8,1,10
10141,0,16070,85,40,53,検索,PC,なし,10,9,0,2,10,7,1,7,5,3,3,7,1,0,7,5,6,9,6,0,8,9,1,4
10142,4,1822,24,31,433,直接,PC,レディース,2,6,2,5,0,8,5,0,0,2,4,7,8,4,7,10,4,9,7,6,5,2,3,6
10143,0,18327,12,34,545,検索,タブレット,アクセサリー,10,2,1,5,1,10,0,8,6,1,3,7,4,0,5,8,1,9,2,6,7,8,0,2
10144,3,15289,81,24,393,検索,タブレット,メンズ,9,0,0,1,4,5,8,1,6,7,6,0,4,2,0,10,3,4,4,6,0,3,6,6
10145,5,7150,32,45,411,検索,スマホ,なし,0,2,4,9,5,1,3,8,3,6,9,7,5,9,10,7,0,5,10,0,1,9,0,2
10146,5,5425,15,35,561,検索,タブレット,メンズ,0,8,2,7,0,2,3,6,3,10,0,7,3,8,9,1,6,3,1,10,5,5,2,5
10147,4,17032,41,48,181,広告,スマホ,レディース,9,4,9,4,6,10,8,8,9,7,0,1,6,6,5,10,3,6,9,2,2,6,9,7
10148,1,3198,65,6,591,検索,スマホ,なし,0,6,7,10,10,9,2,2,4,5,1,8,6,5,10,2,3,1,9,10,0,9,6,5
10149,1,4452,54,19,449,広告,スマホ,アクセサリー,1,2,5,10,3,10,4,0,1,10,0,6,10,7,9,9,3,6,3,1,5,5,10,9
10150,1,10106,98,30,279,直接,タブレット,メンズ,1,3,9,7,8,5,0,0,8,6,9,7,8,7,6,4,2,1,3,4,4,0,5,10
10151,2,14859,41,7,146,SNS,PC,なし,6,0,8,7,5,0,5,10,9,0,9,1,5,5,8,10,7,0,7,1,8,5,6,2
10152,3,18692,33,10,541,検索,スマホ,レディース,8,2,8,2,8,1,2,9,3,9,10,3,0,3,7,6,3,10,2,4,5,10,4,4
10153,1,9705,29,41,364,SNS,PC,アクセサリー,7,6,10,4,0,7,0,5,10,4,2,6,8,3,10,2,7,4,4,4,4,5,7,8
10154,1,11112,12,32,447,SNS,PC,メンズ,3,3,5,6,3,10,9,6,8,3,5,5,9,3,7,6,8,1,10,3,0,4,5,7
10155,1,5841,12,34,324,直接,タブレット,メンズ,1,1,1,4,1,7,5,8,2,9,9,6,8,5,6,4,0,7,4,10,0,2,3,5
10156,2,16358,17,28,400,SNS,PC,なし,2,4,8,5,5,5,9,5,8,2,10,0,4,0,1,9,3,7,1,6,10,9,10,8
10157,3,2409,31,15,215,広告,PC,アクセサリー,9,4,1,1,3,2,1,4,0,1,5,7,6,1,0,5,5,0,8,9,0,2,0,1
10158,2,5566,95,30,275,SNS,タブレット,アクセサリー,4,1,2,7,8,1,7,1,6,8,0,6,0,5,1,5,7,3,3,5,6,10,1,10
10159,2,12382,98,37,297,SNS,スマホ,アクセサリー,8,10,5,4,2,5,10,1,3,7,5,3,3,10,5,10,5,8,8,1,5,9,5,8
10160,3,18939,38,29,266,SNS,PC,アクセサリー,7,5,1,5,0,0,1,7,6,9,4,0,9,0,1,10,5,4,8,3,4,6,3,9
10161,2,15596,45,22,559,検索,タブレット,レディース,2,9,4,0,10,9,3,0,9,1,6,7,3,8,9,3,9,10,1,10,3,7,2,9
10162,4,1804,28,4,581,検索,PC,アクセサリー,8,3,1,9,10,5,2,7,5,5,5,9,4,5,3,7,3,9,8,6,10,2,6,5
10163,4,14221,61,20,50,広告,PC,メンズ,9,0,3,1,0,8,8,10,3,2,6,6,5,6,9,8,8,5,8,8,10,2,6,8
10164,1,2279,92,32,549,広告,スマホ,メンズ,2,2,10,10,8,6,1,9,3,2,1,7,3,0,2,1,6,2,1,8,7,6,1,3
10165,2,14192,61,36,129,検索,PC,レディース,9,8,10,3,8,8,2,10,7,4,0,9,5,7,5,8,10,4,10,2,10,9,7,4
10166,1,8083,56,4,507,広告,タブレット,メンズ,7,9,2,10,4,1,6,6,6,6,6,0,9,4,7,10,5,0,5,0,7,6,10,1
10167,2,12093,15,27,327,検索,PC,メンズ,0,6,4,8,1,10,3,6,3,6,8,4,6,4,10,3,0,7,8,8,4,10,0,2
10168,3,18771,55,17,555,直接,スマホ,アクセサリー,3,5,5,5,8,4,5,4,10,10,1,8,2,5,5,5,1,10,3,7,3,8,10,0
10169,2,13880,9,12,363,SNS,スマホ,メンズ,3,0,6,7,7,8,2,2,5,9,6,4,8,6,1,6,5,5,1,6,1,5,9,3
10170,4,16517,29,22,31,SNS,タブレット,レディース,5,8,9,1,10,6,0,6,5,0,2,9,7,6,4,3,10,1,6,5,6,6,6,1
10171,3,3106,24,17,404,広告,スマホ,アクセサリー,1,8,7,9,9,8,10,6,0,10,5,2,0,4,10,7,0,3,8,9,4,10,9,1
10172,4,17086,83,10,322,検索,PC,なし,6,0,8,4,9,10,5,6,1,6,2,8,1,0,5,9,10,3,5,6,2,9,0,0
10173,1,5831,4,1,582,検索,スマホ,アクセサリー,4,5,3,0,5,5,3,10,3,6,9,8,1,10,8,7,4,8,10,10,8,0,2,9
10174,1,4186,64,22,347,広告,タブレット,レディース,9,6,3,3,6,6,1,1,5,5,10,3,9,8,5,0,0,8,10,8,8,6,2,1
10175,1,3573,93,26,531,検索,スマホ,アクセサリー,5,1,6,9,5,9,6,2,5,5,10,3,8,5,9,7,2,4,3,5,10,1,9,3
10176,2,13808,48,18,410,直接,スマホ,アクセサリー,10,9,9,0,4,4,9,2,0,1,10,10,8,8,4,9,6,2,0,9,10,6,1,5
10177,2,3599,2,14,43,SNS,スマホ,レディース,5,7,9,10,3,5,4,3,7,2,4,7,8,10,0,2,4,0,3,2,9,2,9,6
