"朝食","得点"
"摂取",57
"欠食",54
"摂取",70
"摂取",42
"摂取",45
"摂取",57
"摂取",56
"摂取",31
"摂取",58
"摂取",40
"欠食",38
"摂取",70
"摂取",65
"摂取",46
"摂取",70
"摂取",48
"摂取",63
"欠食",64
"欠食",63
"摂取",66
"摂取",50
"摂取",48
"摂取",66
"欠食",49
"摂取",46
"摂取",43
"摂取",66
"摂取",61
"摂取",68
"摂取",47
"摂取",56
"欠食",39
"欠食",51
"摂取",45
"摂取",57
"摂取",53
"摂取",67
"摂取",56
"欠食",46
"摂取",36
"摂取",48
"摂取",47
"欠食",61
"摂取",58
"摂取",47
"欠食",52
"欠食",51
"摂取",56
"摂取",50
"摂取",65
"摂取",66
"摂取",41
"欠食",60
"摂取",46
"欠食",52
"欠食",60
"欠食",55
"欠食",50
"摂取",54
"摂取",76
"摂取",67
"欠食",50
"摂取",50
"摂取",71
"摂取",54
"欠食",54
"摂取",66
"摂取",47
"摂取",49
"欠食",46
"摂取",55
"摂取",29
"摂取",49
"欠食",57
"摂取",56
"欠食",54
"欠食",34
"摂取",55
"摂取",52
"摂取",53
"摂取",62
"欠食",64
"摂取",50
"欠食",44
"欠食",48
"摂取",61
"摂取",52
"摂取",49
"摂取",52
"摂取",67
"欠食",41
"摂取",50
"摂取",42
"摂取",75
"欠食",45
"摂取",62
"摂取",53
"摂取",51
"摂取",49
"欠食",42
"摂取",66
"欠食",56
"欠食",50
"摂取",42
"摂取",48
"摂取",63
"欠食",40
"摂取",47
"摂取",61
"摂取",57
"摂取",47
"摂取",70
"欠食",38
"摂取",67
"欠食",58
"摂取",32
"摂取",56
"欠食",58
"摂取",45
"欠食",50
"摂取",37
"欠食",41
"摂取",54
"欠食",53
"欠食",49
"摂取",45
"摂取",59
"摂取",66
"摂取",47
"摂取",54
"摂取",48
"欠食",49
"摂取",55
"欠食",49
"摂取",49
"摂取",48
"摂取",53
"摂取",51
"摂取",48
"摂取",57
"欠食",54
"摂取",55
"摂取",42
"摂取",57
"欠食",54
"摂取",50
"摂取",59
"摂取",66
"摂取",56
"欠食",58
"欠食",63
"摂取",70
"摂取",48
"摂取",49
"摂取",50
"欠食",61
"摂取",59
"摂取",63
"摂取",56
"摂取",50
"摂取",38
"欠食",33
"摂取",73
"摂取",53
"摂取",59
"摂取",60
"摂取",67
"摂取",59
"欠食",50
"摂取",60
"欠食",53
"摂取",47
"摂取",63
"摂取",55
"欠食",50
"欠食",41
"摂取",64
"摂取",49
"摂取",52
"欠食",50
"欠食",49
"摂取",59
"摂取",62
"摂取",58
"欠食",35
"欠食",26
"欠食",46
"摂取",51
"摂取",52
"欠食",36
"摂取",46
"摂取",35
"摂取",79
"摂取",58
"摂取",53
"摂取",34
"欠食",47
"摂取",61
"摂取",61
"欠食",55
"欠食",64
"摂取",35
"摂取",42
"摂取",53
"欠食",51
"摂取",48
"欠食",62
"摂取",33
"摂取",43
"欠食",66
"摂取",62
"欠食",35
"摂取",61
"欠食",54
"摂取",40
"摂取",57
"摂取",62
"欠食",40
"摂取",58
"欠食",38
"摂取",58
"摂取",43
"摂取",49
"欠食",40
"摂取",60
"摂取",52
"摂取",58
"摂取",59
"摂取",53
"摂取",52
"欠食",54
"摂取",59
"欠食",50
"摂取",57
"摂取",61
"欠食",57
"摂取",66
"摂取",34
"欠食",53
"摂取",55
"摂取",45
"摂取",45
"摂取",58
"摂取",49
"摂取",50
"摂取",58
"摂取",64
"欠食",71
"欠食",58
"欠食",70
"摂取",66
"摂取",56
"欠食",53
"摂取",72
"欠食",40
"摂取",54
"摂取",55
"欠食",27
"摂取",49
"欠食",53
"摂取",25
"摂取",57
"摂取",50
"摂取",57
"摂取",60
"摂取",67
"摂取",36
"欠食",50
"欠食",44
"摂取",53
"摂取",52
"摂取",41
"欠食",32
"欠食",71
"摂取",40
"摂取",56
"摂取",42
"欠食",65
"摂取",35
"欠食",41
"摂取",41
"摂取",54
"摂取",48
"欠食",74
"摂取",53
"欠食",63
"欠食",58
"欠食",57
"摂取",58
"摂取",56
"摂取",46
"摂取",50
"摂取",58
"欠食",25
"摂取",34
"摂取",49
"欠食",31
"摂取",54
"摂取",58
"欠食",59
"摂取",64
"摂取",59
"摂取",58
"摂取",55
"摂取",53
"摂取",45
"摂取",75
"摂取",45
"欠食",67
"欠食",59
"摂取",73
"摂取",60
"摂取",49
"欠食",47
"欠食",36
"摂取",63
"欠食",50
"摂取",52
"欠食",51
"摂取",47
"欠食",46
"欠食",58
"摂取",66
"摂取",54
"摂取",55
"摂取",55
"摂取",55
"摂取",51
"摂取",59
"欠食",57
"摂取",55
"摂取",59
"摂取",47
"欠食",52
"摂取",59
"摂取",52
"摂取",52
"摂取",48
"摂取",59
"欠食",53
"摂取",80
"欠食",49
"欠食",51
"摂取",43
"摂取",62
"摂取",50
"摂取",54
"摂取",62
"摂取",68
"摂取",51
"欠食",46
"摂取",55
"欠食",62
"摂取",54
"摂取",55
"欠食",58
"摂取",60
"摂取",64
"摂取",33
"摂取",41
"摂取",41
"摂取",57
"欠食",36
"摂取",51
"摂取",57
"欠食",69
"欠食",48
"摂取",53
"摂取",55
"摂取",47
"欠食",18
"摂取",68
"欠食",47
"摂取",46
"摂取",56
"欠食",44
"欠食",59
"摂取",48
"欠食",59
"欠食",48
"欠食",40
"摂取",60
"摂取",77
"摂取",43
"摂取",49
"摂取",41
"摂取",69
"欠食",51
"欠食",27
"摂取",31
"欠食",59
"摂取",56
"欠食",30
"摂取",41
"摂取",57
"欠食",50
"摂取",34
"摂取",61
"欠食",46
"摂取",65
"摂取",58
"摂取",65
"摂取",33
"摂取",60
"摂取",64
"摂取",58
"摂取",42
"摂取",53
"欠食",31
"欠食",44
"欠食",43
"摂取",56
"欠食",72
"摂取",56
"摂取",49
"欠食",59
"摂取",61
"摂取",55
"摂取",46
"欠食",56
"欠食",57
"摂取",56
"欠食",69
"摂取",76
"欠食",40
"欠食",54
"摂取",41
"欠食",45
"摂取",49
"摂取",52
"欠食",68
"欠食",42
"欠食",55
"摂取",61
"摂取",55
"摂取",59
"摂取",46
"欠食",45
"欠食",43
"摂取",31
"欠食",56
"欠食",46
"欠食",48
"摂取",60
"摂取",53
"摂取",52
"欠食",45
"摂取",69
"摂取",54
"摂取",54
"摂取",63
"摂取",57
"欠食",41
"摂取",49
"摂取",45
"摂取",36
"摂取",51
"摂取",59
"欠食",45
"欠食",54
"欠食",58
"摂取",52
"摂取",48
"摂取",46
"欠食",47
"摂取",69
"欠食",51
"欠食",45
"摂取",48
"摂取",54
"欠食",51
"欠食",63
"摂取",49
"摂取",63
"欠食",44
"欠食",52
"摂取",50
"摂取",63
"摂取",67
"摂取",68
"摂取",60
"摂取",48
"摂取",52
"摂取",56
"摂取",32
"欠食",64
"欠食",39
"欠食",45
"欠食",63
"摂取",57
"摂取",58
"欠食",43
"欠食",34
"欠食",42
"摂取",58
"摂取",60
"摂取",53
"摂取",49
"摂取",57
"摂取",47
"摂取",58
"欠食",39
"摂取",72
"欠食",23
"欠食",64
"欠食",43
"欠食",63
"摂取",38
"欠食",47
"摂取",55
"摂取",43
"欠食",45
"摂取",58
"摂取",58
"摂取",41
"摂取",43
"摂取",55
"欠食",64
"摂取",60
"欠食",35
"摂取",46
"摂取",35
"摂取",61
"摂取",44
"摂取",53
"欠食",56
"摂取",52
"欠食",42
"欠食",51
"摂取",40
"摂取",77
"摂取",28
"摂取",75
"摂取",59
"摂取",47
"摂取",56
"摂取",53
"摂取",76
"欠食",72
"摂取",61
"摂取",50
"欠食",52
"摂取",45
"欠食",40
"摂取",50
"摂取",68
"摂取",48
"摂取",56
"摂取",66
"摂取",57
"摂取",58
"摂取",46
"欠食",51
"摂取",43
"摂取",45
"摂取",41
"摂取",49
"摂取",56
"摂取",52
"摂取",43
"摂取",43
"摂取",40
"摂取",57
"摂取",56
"欠食",36
"欠食",33
"摂取",52
"欠食",45
"欠食",38
"摂取",63
"摂取",52
"摂取",53
"摂取",59
"摂取",57
"摂取",50
"欠食",39
"摂取",65
"摂取",36
"欠食",64
"摂取",48
"摂取",74
"欠食",48
"摂取",47
"摂取",53
"欠食",63
"摂取",35
"欠食",47
"欠食",53
"欠食",51
"摂取",54
"摂取",50
"摂取",42
"欠食",79
"摂取",38
"摂取",63
"摂取",42
"摂取",33
"欠食",52
"欠食",71
"摂取",59
"欠食",34
"摂取",46
"欠食",42
"摂取",42
"摂取",63
"欠食",75
"摂取",38
"欠食",58
"欠食",39
"摂取",64
"欠食",52
"欠食",47
"摂取",60
"摂取",75
"摂取",67
"欠食",48
"欠食",58
"摂取",42
"摂取",57
"摂取",63
"摂取",58
"摂取",47
"欠食",50
"摂取",47
"摂取",57
"欠食",47
"欠食",48
"摂取",47
"摂取",64
"摂取",56
"摂取",43
"摂取",56
"欠食",45
"摂取",54
"摂取",72
"摂取",43
"摂取",55
"摂取",39
"摂取",59
"欠食",36
"欠食",33
"欠食",56
"欠食",42
"欠食",30
"摂取",40
"摂取",64
"摂取",55
"欠食",52
"欠食",59
"欠食",52
"摂取",21
"摂取",53
"欠食",36
"摂取",44
"摂取",37
"摂取",57
"摂取",76
"摂取",58
"欠食",69
"欠食",48
"欠食",45
"欠食",58
"摂取",40
"摂取",40
"摂取",23
"摂取",31
"欠食",46
"摂取",54
"摂取",50
"摂取",34
"摂取",41
"欠食",42
"摂取",62
"摂取",56
"欠食",42
"摂取",37
"摂取",51
"摂取",35
"摂取",46
"摂取",50
"欠食",62
"摂取",62
"摂取",55
"摂取",51
"欠食",45
"摂取",59
"欠食",36
"摂取",49
"欠食",62
"摂取",45
"欠食",35
"摂取",53
"欠食",53
"摂取",70
"摂取",44
"欠食",45
"摂取",65
"摂取",50
"摂取",56
"摂取",58
"摂取",66
"摂取",62
"摂取",53
"摂取",40
"摂取",52
"欠食",57
"摂取",66
"摂取",60
"摂取",38
"摂取",54
"欠食",39
"摂取",48
"摂取",42
"欠食",67
"摂取",51
"摂取",72
"欠食",33
"欠食",42
"摂取",61
"欠食",45
"欠食",70
"摂取",46
"摂取",31
"摂取",52
"摂取",49
"摂取",52
"摂取",45
"欠食",43
"摂取",45
"欠食",46
"摂取",42
"摂取",64
"摂取",44
"摂取",66
"欠食",35
"摂取",61
"欠食",44
"摂取",54
"摂取",61
"摂取",44
"摂取",55
"摂取",53
"欠食",39
"摂取",59
"摂取",30
"欠食",65
"摂取",65
"欠食",48
"摂取",49
"摂取",56
"摂取",48
"摂取",51
"摂取",55
"摂取",52
"摂取",70
"欠食",47
"欠食",41
"欠食",39
"摂取",47
"摂取",43
"摂取",62
"摂取",55
"摂取",52
"欠食",50
"摂取",44
"摂取",77
"摂取",61
"欠食",58
"摂取",55
"摂取",55
"摂取",60
"欠食",54
"摂取",61
"摂取",49
"欠食",63
"欠食",35
"摂取",71
"欠食",49
"摂取",55
"摂取",52
"欠食",42
"摂取",48
"欠食",65
"摂取",74
"摂取",42
"摂取",57
"摂取",48
"摂取",54
"欠食",53
"摂取",48
"摂取",56
"摂取",70
"欠食",39
"欠食",46
"摂取",56
"摂取",57
"摂取",54
"摂取",56
"摂取",51
"摂取",55
"欠食",49
"摂取",62
"欠食",57
"欠食",50
"摂取",66
"摂取",55
"摂取",59
"摂取",55
"欠食",44
"摂取",60
"欠食",31
"欠食",40
"摂取",59
"欠食",62
"摂取",38
"欠食",62
"摂取",40
"欠食",44
"摂取",40
"欠食",48
"摂取",53
"摂取",57
"摂取",49
"摂取",53
"摂取",56
"欠食",40
"摂取",46
"摂取",67
"欠食",20
"摂取",63
"摂取",64
"摂取",67
"摂取",49
"欠食",58
"摂取",55
"欠食",44
"欠食",56
"摂取",57
"摂取",49
"欠食",45
"欠食",47
"摂取",58
"摂取",52
"欠食",36
"欠食",53
"摂取",49
"欠食",58
"欠食",38
"欠食",31
"摂取",48
"摂取",47
"欠食",57
"欠食",31
"摂取",42
"欠食",49
"摂取",46
"摂取",51
"摂取",41
"欠食",42
"欠食",41
"摂取",36
"摂取",57
"摂取",48
"摂取",47
"摂取",64
"摂取",60
"摂取",46
"摂取",62
"欠食",46
"摂取",49
"欠食",52
"摂取",54
"摂取",52
"摂取",50
"摂取",57
"摂取",63
"摂取",49
"欠食",65
"摂取",45
"欠食",70
"欠食",58
"摂取",49
"欠食",29
"摂取",49
"摂取",50
"欠食",64
"摂取",57
"摂取",35
"摂取",56
"摂取",44
"摂取",36
"摂取",62
"摂取",59
"摂取",49
"摂取",67
"欠食",47
"摂取",36
"摂取",62
"欠食",43
"欠食",51
"欠食",41
"摂取",40
"摂取",57
"摂取",44
"欠食",45
"摂取",60
"欠食",24
"摂取",44
"摂取",68
"摂取",53
"摂取",36
"欠食",50
"欠食",50
"摂取",45
"摂取",46
"摂取",53
"欠食",58
"摂取",45
"欠食",57
"摂取",34
"摂取",73
"欠食",58
"欠食",44
"摂取",52
"摂取",41
"欠食",41
"摂取",56
"摂取",32
"摂取",60
"欠食",58
"摂取",54
"欠食",42
"欠食",56
"欠食",48
"摂取",71
"摂取",58
"欠食",69
"欠食",44
"欠食",62
"摂取",63
"摂取",59
"欠食",68
"摂取",65
"摂取",64
"摂取",67
"摂取",46
"欠食",57
"摂取",66
"摂取",34
"摂取",65
"摂取",42
"欠食",35
"欠食",49
"摂取",36
"摂取",45
"欠食",58
"摂取",54
"欠食",63
"摂取",56
"摂取",36
"欠食",39
"欠食",52
"摂取",49
"摂取",62
"摂取",55
"摂取",42
"摂取",48
"欠食",60
"摂取",44
"欠食",35
"欠食",56
"摂取",55
"欠食",42
"摂取",53
"欠食",52
"摂取",45
"欠食",54
"欠食",43
"欠食",47
"摂取",60
"摂取",50
"欠食",33
"摂取",50
"摂取",36
"摂取",48
"摂取",47
"欠食",82
"欠食",55
"欠食",54
"欠食",52
"摂取",48
"摂取",26
"摂取",71
"欠食",45
"摂取",44
"欠食",44
"摂取",64
"摂取",60
"欠食",63
"摂取",56
"摂取",52
"欠食",47
"欠食",34
"摂取",56
"欠食",47
"摂取",49
"摂取",64
"欠食",62
"摂取",78
"摂取",58
"摂取",52
"摂取",44
"欠食",50
"欠食",67
"摂取",51
"摂取",70
"摂取",51
"摂取",55
"摂取",78
"摂取",53
"欠食",35
"欠食",43
"摂取",42
"摂取",54
"摂取",47
"欠食",54
"摂取",69
"欠食",40
"欠食",40
"摂取",50
"摂取",62
"摂取",57
"欠食",51
"欠食",66
"欠食",47
"欠食",68
"摂取",38
"摂取",56
"欠食",59
"摂取",64
"摂取",38
"摂取",47
"摂取",34
"摂取",51
"摂取",48
"欠食",60
"摂取",57
"摂取",50
"摂取",67
"欠食",49
"欠食",63
"摂取",60
"欠食",57
"欠食",59
"欠食",44
"欠食",36
"摂取",61
"摂取",40
"摂取",44
"欠食",48
"欠食",56
"摂取",59
"欠食",32
"摂取",55
"摂取",35
"摂取",76
"摂取",44
"欠食",67
"摂取",50
"欠食",56
"摂取",45
"摂取",54
"欠食",56
"摂取",68
"摂取",47
"欠食",34
"摂取",41
"摂取",54
"欠食",53
"摂取",50
"摂取",53
"欠食",47
"摂取",49
"摂取",75
"摂取",54
"摂取",65
"摂取",79
"摂取",40
"欠食",49
"摂取",53
"摂取",65
"欠食",47
"摂取",56
"摂取",55
"摂取",57
"欠食",44
"摂取",79
"摂取",42
"欠食",47
"摂取",57
"摂取",57
"摂取",41
"摂取",51
"摂取",39
"摂取",62
"摂取",44
"欠食",39
"摂取",53
"欠食",37
"摂取",55
"摂取",47
"欠食",44
"摂取",37
"摂取",28
"摂取",64
"摂取",71
"摂取",66
"摂取",52
"欠食",51
"摂取",57
"摂取",50
"摂取",58
"摂取",61
"摂取",62
"摂取",65
"摂取",49
"摂取",56
"摂取",52
"摂取",40
"摂取",44
"摂取",50
"摂取",56
"摂取",65
"摂取",61
"欠食",38
"摂取",59
"摂取",44
"摂取",62
"摂取",43
"摂取",41
"摂取",54
"摂取",45
"摂取",64
"欠食",40
"摂取",58
"摂取",63
"欠食",46
"摂取",58
"摂取",47
"欠食",39
"欠食",27
"摂取",44
"欠食",54
"摂取",54
"摂取",42
"欠食",49
"欠食",26
"摂取",61
"欠食",41
"欠食",49
"欠食",54
"摂取",44
"欠食",65
"摂取",56
"欠食",54
"摂取",61
"摂取",62
"摂取",58
"摂取",77
"欠食",44
"摂取",69
"摂取",39
"摂取",48
"摂取",48
"欠食",41
"摂取",54
"欠食",56
"欠食",42
"摂取",57
"欠食",56
"摂取",54
"摂取",45
"欠食",39
"摂取",44
"摂取",58
"摂取",71
"摂取",47
"摂取",68
"欠食",40
"摂取",47
"摂取",52
"摂取",49
"摂取",55
"摂取",61
"摂取",63
"摂取",61
"摂取",38
"欠食",44
"摂取",49
"摂取",60
"欠食",34
"摂取",46
"摂取",60
"欠食",60
"摂取",56
"摂取",70
"欠食",26
"摂取",55
"欠食",49
"欠食",40
"摂取",47
"摂取",55
"摂取",65
"摂取",56
"欠食",57
"摂取",44
"摂取",49
"欠食",50
"摂取",54
"摂取",58
"摂取",51
"摂取",61
"欠食",53
"摂取",39
"欠食",54
"摂取",36
"摂取",47
"摂取",56
"欠食",37
"摂取",52
"欠食",49
"摂取",52
"欠食",41
"摂取",59
"摂取",60
"摂取",49
"摂取",57
"摂取",45
"摂取",53
"欠食",58
"摂取",55
"欠食",51
"摂取",66
"摂取",46
"摂取",61
"摂取",55
"欠食",43
"欠食",49
"摂取",49
"摂取",60
"欠食",54
"摂取",35
"摂取",69
"摂取",32
"欠食",57
"欠食",43
"欠食",61
"摂取",57
"欠食",64
"摂取",51
"欠食",26
"摂取",51
"欠食",51
"摂取",65
"摂取",41
"摂取",50
"欠食",45
"欠食",65
"欠食",34
"摂取",64
"摂取",65
"摂取",52
"欠食",59
"摂取",58
"欠食",43
"欠食",43
"欠食",30
"摂取",69
"欠食",63
"摂取",66
"摂取",53
"摂取",47
"欠食",33
"摂取",47
"摂取",44
"摂取",39
"摂取",56
"摂取",48
"欠食",54
"欠食",42
"摂取",74
"摂取",79
"欠食",65
"摂取",52
"欠食",56
"欠食",36
"摂取",40
"摂取",49
"欠食",67
"摂取",51
"摂取",62
"摂取",53
"欠食",47
"摂取",55
"摂取",52
"欠食",65
"摂取",40
"摂取",54
"摂取",53
"摂取",52
"摂取",47
"欠食",57
"摂取",38
"摂取",61
"摂取",31
"摂取",69
"摂取",60
"摂取",54
"欠食",26
"摂取",52
"摂取",46
"摂取",65
"摂取",37
"摂取",37
"摂取",51
"摂取",52
"摂取",47
"欠食",48
"欠食",47
"欠食",45
"摂取",46
"摂取",51
"欠食",60
"摂取",72
"欠食",60
"摂取",53
"摂取",41
"摂取",62
"摂取",68
"摂取",51
"欠食",48
"欠食",62
"欠食",52
"欠食",73
"欠食",49
"欠食",34
"欠食",61
"摂取",57
"欠食",47
"欠食",37
"摂取",62
"欠食",56
"欠食",53
"摂取",69
"摂取",42
"摂取",55
"摂取",51
"摂取",58
"摂取",57
"摂取",52
"摂取",38
"欠食",50
"欠食",65
"摂取",33
"摂取",48
"欠食",55
"欠食",39
"摂取",43
"欠食",40
"摂取",45
"摂取",57
"摂取",73
"摂取",59
"摂取",45
"欠食",44
"摂取",42
"摂取",46
"欠食",43
"摂取",67
"摂取",59
"欠食",33
"摂取",61
"欠食",63
"摂取",51
"摂取",67
"摂取",56
"欠食",56
"摂取",50
"欠食",64
"欠食",51
"欠食",47
"摂取",58
"摂取",52
"欠食",47
"摂取",60
"摂取",51
"摂取",49
"摂取",48
"摂取",39
"摂取",69
"摂取",46
"摂取",49
"摂取",54
"欠食",44
"摂取",33
"摂取",57
"欠食",55
"欠食",48
"欠食",45
"摂取",45
"摂取",73
"摂取",50
"摂取",53
"摂取",54
"摂取",51
"摂取",77
"欠食",50
"摂取",42
"摂取",56
"摂取",64
"欠食",40
"摂取",70
"欠食",53
"欠食",48
"摂取",62
"欠食",36
"摂取",68
"摂取",47
"摂取",44
"欠食",45
"摂取",53
"摂取",44
"摂取",28
"摂取",54
"摂取",62
"欠食",48
"欠食",54
"摂取",61
"欠食",40
"欠食",67
"欠食",42
"摂取",54
"摂取",71
"欠食",52
"摂取",53
"摂取",42
"欠食",38
"摂取",48
"欠食",46
"摂取",70
"摂取",47
"摂取",42
"摂取",60
"摂取",55
"欠食",51
"摂取",68
"摂取",63
"摂取",65
"摂取",51
"欠食",48
"摂取",52
"欠食",42
"摂取",41
"摂取",57
"欠食",48
"欠食",50
"摂取",65
"摂取",46
"摂取",73
"摂取",49
"摂取",61
"摂取",42
"摂取",56
"摂取",45
"摂取",46
"摂取",40
"摂取",53
"摂取",61
"欠食",48
"摂取",50
"摂取",49
"欠食",57
"摂取",64
"欠食",28
"摂取",48
"摂取",62
"摂取",68
"摂取",59
"摂取",52
"欠食",56
"摂取",55
"欠食",55
"欠食",55
"摂取",68
"摂取",57
"摂取",49
"欠食",60
"欠食",42
"摂取",50
"摂取",29
"欠食",52
"摂取",59
"摂取",36
"摂取",78
"摂取",44
"欠食",37
"摂取",50
"摂取",56
"摂取",49
"欠食",55
"摂取",44
"摂取",60
"摂取",54
"欠食",69
"摂取",57
"摂取",53
"摂取",54
"摂取",59
"欠食",42
"欠食",40
"欠食",59
"摂取",54
"摂取",38
"欠食",40
"摂取",54
"欠食",62
"摂取",55
"欠食",50
"摂取",48
"摂取",46
"欠食",44
"摂取",57
"摂取",47
"摂取",55
"摂取",50
"欠食",52
"欠食",60
"摂取",61
"摂取",53
"摂取",43
"摂取",59
"摂取",54
"摂取",43
"摂取",63
"摂取",62
"摂取",46
"欠食",77
"摂取",22
"欠食",56
"摂取",48
"摂取",55
"欠食",40
"摂取",51
"欠食",44
"摂取",58
"欠食",55
"欠食",57
"摂取",57
"欠食",49
"摂取",52
"摂取",72
"摂取",62
"欠食",49
"摂取",68
"欠食",55
"摂取",52
"欠食",40
"欠食",53
"欠食",55
"摂取",47
"欠食",40
"摂取",40
"摂取",44
"欠食",61
"欠食",55
"欠食",41
"欠食",34
"欠食",22
"摂取",44
"摂取",58
"欠食",38
"摂取",56
"欠食",67
"摂取",31
"欠食",49
"欠食",40
"摂取",63
"摂取",53
"欠食",54
"欠食",52
"摂取",55
"欠食",53
"欠食",40
"摂取",66
"欠食",65
"摂取",51
"欠食",48
"摂取",35
"欠食",52
"欠食",27
"摂取",51
"欠食",35
"摂取",45
"摂取",51
"摂取",58
"摂取",67
"摂取",49
"摂取",51
"欠食",48
"摂取",48
"摂取",50
"欠食",57
"欠食",68
"摂取",69
"摂取",52
"摂取",59
"欠食",44
"欠食",35
"欠食",55
"摂取",57
"摂取",69
"摂取",51
"摂取",36
"欠食",53
"摂取",38
"摂取",42
"摂取",48
"欠食",45
"欠食",36
"欠食",60
"摂取",56
"摂取",44
"欠食",42
"摂取",41
"摂取",57
"摂取",62
"欠食",45
"欠食",60
"摂取",50
"欠食",53
"摂取",64
"欠食",42
"摂取",54
"欠食",55
"欠食",46
"欠食",51
"摂取",57
"欠食",62
"欠食",59
"摂取",49
"摂取",59
"摂取",69
"欠食",44
"摂取",67
"欠食",36
"欠食",41
"摂取",54
"欠食",33
"摂取",56
"欠食",29
"摂取",46
"摂取",43
"摂取",62
"摂取",42
"摂取",66
"欠食",42
"摂取",50
"摂取",45
"摂取",64
"摂取",40
"摂取",60
"欠食",60
"摂取",49
"欠食",37
"摂取",60
"欠食",40
"摂取",44
"欠食",43
"欠食",41
"欠食",67
"欠食",56
"欠食",53
"摂取",47
"摂取",64
"欠食",40
"摂取",51
"摂取",64
"欠食",41
"摂取",53
"摂取",45
"摂取",49
"欠食",49
"摂取",51
"摂取",63
"欠食",56
"摂取",61
"摂取",61
"欠食",63
"摂取",55
"摂取",60
"摂取",50
"欠食",49
"摂取",58
"欠食",47
"摂取",49
"欠食",53
"欠食",65
"欠食",36
"摂取",48
"摂取",57
"摂取",56
"摂取",39
"摂取",46
"欠食",39
"欠食",50
"欠食",63
"欠食",50
"欠食",48
"欠食",73
"摂取",47
"欠食",51
"欠食",47
"摂取",44
"摂取",59
